no,id1,id2,Date,Pref,Location,LandUse,Crop,Farmer,Collector,Field name in KSAS,x,y,x_53n,y_53n,dsm_AW3D30,AcquisitionDate_S2,B2,B3,B4,B8,B11,B12,AcquisitionId_S1,type,VV,VH,Layer,pH1,pH2,EC,Y1,Humus,CS,FS,Sand,Silt,Clay,TC,TN,CEC,CaO,MgO,K2O,Na2O,BaseSaturation,PAcidAbsCoef,AvailP1,AvailP2,AvailSi1,AvailSi2,HotAvailN,AvailN,UplandAvailN,NH4,NO3,InorgN,FreeIron,WaterExB,Mn,SoilTypeName3,SoilTypeNum,SoilTypeName2,SoilTaxon
883,G30373,D010-31,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D010,136.6606245,35.18923701,651192.209,3895291.91,-2,20200321,0.141,0.1716,0.1974,0.2444,0.2859,0.2733,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-6.084045281,-12.60315584,,7.72,,2.2,,,69.00164482,10.86178538,79.86343019,11.56357474,8.572995066,0.755140632,0.076314873,3.983527778,41.9741018,11.60793252,13.49214672,,,,24.56,,,,,2.98629,,0.563227778,1.41496,1.978187778,,,,,,,
884,G30374,D011-32,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6628524,35.18920392,651395.127,3895291.631,-1,20200321,0.1118,0.1316,0.162,0.2187,0.2743,0.2566,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-6.388049459,-12.39527811,,7.49,,3.64,,,25.18073382,29.34593009,54.52666391,29.3408887,16.13244739,1.340620069,0.120418297,9.236944444,124.383255,35.90167702,21.32241044,,,,78.1,,,,,6.89829,,0.947807778,1.64136,2.589167778,,,,,,,
885,G30375,D011-33,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6624161,35.18916253,651355.473,3895286.376,-2,20200321,0.1208,0.1486,0.175,0.2429,0.2899,0.264,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-4.979156533,-12.68911565,,7.6,,2.46,,,36.84554316,22.35453723,59.20008039,25.72605768,15.07386192,0.604284441,0.061015119,7.311027778,75.13364222,20.56262333,10.23957563,,,,42.71,,,,,4.93834,,0.746907778,1.37251,2.119417778,,,,,,,
886,G30376,D011-34,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6619797,35.18912115,651315.82,3895281.122,-2,20200321,0.1056,0.1378,0.1578,0.2301,0.2805,0.2595,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-6.347058251,-14.31997577,,7.58,,2.81,,,37.6365175,24.08382697,61.72034447,24.88924287,13.39041266,0.985190512,0.091044083,7.331194444,83.03876472,23.87917548,9.878178847,,,,68.12,,,,,5.76805,,0.752647778,1.47156,2.224207778,,,,,,,
887,G30377,D011-35,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6615434,35.18907977,651276.166,3895275.868,-2,20200321,0.1216,0.1412,0.17,0.2248,0.2802,0.2618,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-4.74095846,-14.06085311,,7.63,,2.35,,,56.23964195,16.42005815,72.6597001,17.46603551,9.874264392,0.817326214,0.078636512,5.506111111,65.68946931,18.40686443,6.384676572,,,,49.06,,,,,4.38018,,0.474257778,1.44326,1.917517778,,,,,,,
888,G30378,D011-36,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6611071,35.18903838,651236.513,3895270.613,-2,20200321,0.105,0.1342,0.155,0.2176,0.2728,0.2553,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.129003129,-13.28897807,,7.52,,3.01,,,50.52803484,20.07621121,70.60424605,18.40946207,10.98629188,0.891678319,0.083254855,6.332944444,92.69280813,25.03996873,7.468866933,,,,75.38,,,,,4.75782,,0.531657778,1.55646,2.088117778,,,,,,,
889,G30379,D011-37,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6606707,35.188997,651196.86,3895265.359,-2,20200321,0.1122,0.1382,0.165,0.226,0.2716,0.2528,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.71768589,-17.29665239,,7.63,,1.77,,,63.55134578,13.59385471,77.14520049,14.35301413,8.501785375,0.875793941,0.070173548,4.306194444,53.51697979,13.3491224,8.432591698,,,,39.99,,,,,3.15766,,0.580447778,1.40081,1.981257778,,,,,,,
890,G30380,D011-38,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6629158,35.18872939,651401.784,3895239.095,-2,20200321,0.1264,0.156,0.1816,0.2408,0.2409,0.2132,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.438294243,-13.47408673,,7.33,,4.08,,,27.10169543,30.53777273,57.63946816,27.33585922,15.02467262,1.131282722,0.105760805,8.279027778,116.4081756,31.42433162,15.11843226,,,,91.71,,,,,5.9679,,1.217587778,2.16491,3.382497778,,,,,,,
891,G30381,D011-39,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6624795,35.188688,651362.131,3895233.84,-2,20200321,0.1316,0.1584,0.1878,0.2479,0.2831,0.2661,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.170191674,-18.00293149,,7.36,,3.37,,,35.41258154,24.51978871,59.93237024,25.66129097,14.40633879,1.102803883,0.100631345,7.351361111,97.03013199,27.02990002,14.57633708,,,,82.64,,,,,5.68537,,1.022427778,1.78286,2.805287778,,,,,,,
892,G30382,D011-40,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6620432,35.18864663,651322.477,3895228.586,-2,20200321,0.1274,0.1556,0.182,0.2407,0.2863,0.2673,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.40570234,-11.18260326,,7.39,,2.96,,,57.02328565,17.31538377,74.33866942,15.93809204,9.72323854,0.86400722,0.080493677,5.143111111,70.72636153,20.14805431,12.22725796,,,,59.95,,,,,4.19835,,0.824397778,1.59891,2.423307778,,,,,,,
893,G30383,D011-41,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6616068,35.18860524,651282.824,3895223.332,-3,20200321,0.1298,0.1558,0.182,0.2393,0.2846,0.2716,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-4.829991611,-16.16410027,,7.59,,1.64,,,71.17557616,12.07874939,83.25432555,10.18653787,6.559136579,0.625740901,0.060062419,3.287777778,40.50500823,9.618001234,7.468866933,,,,39.08,,,,,2.95101,,0.485737778,1.31591,1.801647778,,,,,,,
894,G30384,D011-42,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6611705,35.18856385,651243.17,3895218.077,-2,20200321,0.13,0.1548,0.1816,0.2402,0.2674,0.2472,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.400597235,-13.30496872,,7.49,,2.39,,,55.59027225,16.49816908,72.08844133,19.00573157,8.905827098,0.775611317,0.071913825,5.727944444,72.19545509,18.73851965,8.010962113,,,,56.32,,,,,4.27704,,0.646457778,1.38666,2.033117778,,,,,,,
895,G30385,D011-43,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,D011,136.6607342,35.18852247,651203.517,3895212.823,-2,20200321,0.1326,0.1574,0.1844,0.2424,0.2783,0.2616,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.957118008,-12.1571747,,7.3,,4.03,,,33.30052032,23.15527252,56.45579284,28.77835145,14.76585572,1.331965209,0.120971265,8.349611111,128.7205788,37.06247027,15.11843226,,,,102.6,,,,,3.97872,,1.665307778,2.44791,4.113217778,,,,,,,
896,G30386,E001-44,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E001,136.6657941,35.19245812,651656.932,3895657.057,-1,20200321,0.1278,0.1586,0.1768,0.2369,0.2691,0.2531,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.106174038,-14.5992957,,7.23,,3.67,,,43.06191243,28.02321098,71.08512342,18.18918732,10.72568926,1.041748761,0.094469611,6.080861111,99.96831911,25.53745155,17.58797697,,,,108.04,,,,,4.18428,,0.812917778,1.49986,2.312777778,,,,,,,
897,G30387,E001-45,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E001,136.6653586,35.19241127,651617.364,3895651.197,-2,20200321,0.1036,0.1302,0.1516,0.226,0.2508,0.2274,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.301601803,-13.58545355,,7.35,,2.66,,,52.40140845,21.24044266,73.64185111,16.70020121,9.657947686,1.005852459,0.087698904,5.788444444,91.92328293,18.98726106,10.48050683,,,,65.4,,,,,2.81827,,1.028167778,1.64136,2.669527778,,,,,,,
898,G30388,E001-46,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E001,136.664923,35.19236443,651577.795,3895645.337,-1,20200321,0.083,0.103,0.1138,0.2239,0.2286,0.1834,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.9502994,-11.68566281,,7.18,,3.92,,,59.52961655,17.80130145,77.330918,13.9151731,8.753908899,1.061845341,0.094244096,6.010277778,102.6266789,21.39176137,17.28681298,,,,69.93,,,,,2.32249,,0.919107778,1.69796,2.617067778,,,,,,,
899,G30389,E010-1,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.666258,35.18826732,651706.964,3895192.941,-2,20200321,0.113,0.1366,0.1666,0.2498,0.2612,0.2353,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.090450814,-15.67863778,,6.65,,3.05,,,56.24993877,18.13114144,74.38108021,15.57708699,10.04183281,0.874147648,0.08220061,5.235416667,77.30230414,20.81136474,16.62425221,,,,76.29,,,,,1.434582222,,1.355596667,1.11929,2.474886667,,,,,,,
900,G30390,E010-2,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6658206,35.18823453,651667.196,3895188.636,-1,20200321,0.1248,0.1582,0.1796,0.2489,0.2984,0.2823,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.202909534,-15.58442646,,6.63,,2.87,,,56.14449996,18.08712961,74.23162957,15.47087632,10.29749411,0.828775568,0.081522112,5.566083333,75.27355589,18.90434725,10.84190361,,,,68.12,,,,,-0.127022222,,2.668672222,1.08463,3.753302222,,,,,,,
901,G30391,E010-3,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6653832,35.18820173,651627.429,3895184.331,-2,20200321,0.1194,0.1536,0.1746,0.2454,0.3026,0.2833,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-6.970875787,-15.69871548,,6.71,,2.15,,,58.57686797,16.20282232,74.77969029,12.80642186,12.41388785,0.944437023,0.086811231,5.43175,64.36028942,16.74858836,16.56401941,,,,88.08,,,,,5.378525556,,1.305881111,0.94599,2.251871111,,,,,,,
902,G30392,E010-4,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6649458,35.18816894,651587.661,3895180.026,-2,20200321,0.1204,0.1566,0.173,0.2554,0.3071,0.2897,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.645580467,-12.80785713,,6.65,,3.08,,,48.91548756,20.84188408,69.75737164,18.55797649,11.68465187,0.932233278,0.08487809,6.05175,80.24049127,20.56262333,15.23889785,,,,67.21,,,,,6.119225556,,1.305881111,1.08463,2.390511111,,,,,,,
903,G30393,E010-5,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6645084,35.18813613,651547.894,3895175.72,0,20200321,0.1236,0.1532,0.181,0.2423,0.3006,0.2876,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-2.734216306,-13.12879809,,6.66,,2.98,,,38.5590387,25.25468062,63.81371932,22.32142857,13.86485211,1.08017179,0.09849245,6.76475,82.96880788,20.81136474,16.50378661,,,,161.58,,,,,7.709464444,,1.282485556,1.04997,2.332455556,,,,,,,
904,G30394,E010-6,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.664071,35.18810333,651508.126,3895171.415,-2,20200321,0.1208,0.1446,0.1744,0.2452,0.2996,0.2785,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-6.896066535,-17.00631102,,6.64,,2.94,,,38.38608237,24.74031244,63.12639481,22.7226618,14.1509434,1.008309769,0.090242285,7.116083333,98.49922555,25.70327916,19.5154265,,,,100.79,,,,,5.716762222,,2.086707778,1.11929,3.205997778,,,,,,,
905,G30395,E010-7,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6662909,35.1880011,651710.457,3895163.463,-1,20200321,0.123,0.1526,0.173,0.2437,0.2753,0.2546,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.08954217,-13.49354986,,6.66,,2.72,,,58.7387228,18.55946695,77.29818975,14.1026397,8.599170549,0.781476054,0.071771314,4.822083333,83.31859207,20.56262333,14.39563869,,,,56.32,,,,,5.026921111,,1.168432222,1.10196,2.270392222,,,,,,,
906,G30396,E010-8,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6658535,35.18796831,651670.69,3895159.158,-2,20200321,0.1382,0.162,0.1882,0.2496,0.2911,0.2752,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.44618023,-11.99555507,,6.73,,2.55,,,53.38699983,20.20671784,73.59371767,16.65172281,9.754559518,0.853102086,0.078658745,6.031083333,93.81211751,23.71334787,15.54006184,,,,72.66,,,,,4.561045556,,1.253241111,1.13662,2.389861111,,,,,,,
907,G30397,E010-9,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6654161,35.1879355,651630.922,3895154.852,-3,20200321,0.1386,0.1694,0.1944,0.2473,0.2953,0.2818,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.676313865,-16.82308584,,6.7,,2.41,,,63.67218675,13.98144453,77.65363128,13.46767757,8.878691141,0.805852338,0.076625543,4.057416667,60.30279291,14.84157087,12.40795636,,,,34.55,,,,,4.8275,,1.118716667,1.08463,2.203346667,,,,,,,
908,G30398,E010-10,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6649787,35.1879027,651591.154,3895150.547,-1,20200321,0.1408,0.167,0.1946,0.2495,0.2997,0.2876,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-6.876920316,-15.00781453,,6.69,,2.58,,,55.3076838,16.69364325,72.00132705,16.93995114,11.05872181,0.900311824,0.083332843,5.700416667,84.08811727,20.89427854,23.85218795,,,,94.43,,,,,5.556378889,,1.042681111,1.08463,2.127311111,,,,,,,
909,G30399,E010-11,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6645413,35.1878699,651551.387,3895146.242,-1,20200321,0.1366,0.1664,0.1954,0.25,0.3041,0.2922,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.607333677,-14.22228468,,6.48,,4.13,,,52.14363331,17.52938852,69.67302183,19.51002667,10.8169515,0.903481543,0.083296567,5.690083333,79.19113872,22.46964081,23.18962717,,,,32.73,,,,,4.253134444,,3.247712222,1.44856,4.696272222,,,,,,,
910,G30400,E010-12,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E010,136.6641039,35.1878371,651511.619,3895141.937,-3,20200321,0.1374,0.1638,0.1918,0.2509,0.2994,0.2847,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.298613561,-13.4240416,,6.59,,3.42,,,39.5237562,22.5538803,62.0776365,23.61876063,14.30360288,0.998569583,0.091911405,6.837083333,107.7335279,29.51731413,22.4066008,,,,56.32,,,,,5.196281111,,1.765018889,1.36191,3.126928889,,,,,,,
911,G30401,E011-1,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6663082,35.18777751,651712.445,3895138.69,1,20200321,0.113,0.1356,0.1554,0.2298,0.2587,0.2402,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.632483693,-14.50068876,,6.67,,2.53,,,66.71187107,13.63404088,80.34591195,11.35023585,8.303852201,0.762626121,0.074388317,4.93575,79.19113872,14.09534664,15.35936345,,,,72.66,,,,,5.231647778,,1.203525556,1.10196,2.305485556,,,,,,,
912,G30402,E011-2,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6658708,35.18774472,651672.678,3895134.385,-2,20200321,0.1102,0.1326,0.1576,0.2362,0.2752,0.2571,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.213900954,-11.69400921,,6.61,,3.04,,,57.26371936,15.91685479,73.18057415,16.23149609,10.58792976,0.888962747,0.081829584,6.02075,102.9764631,20.47970952,12.40795636,,,,60.86,,,,,5.686278889,,1.349747778,1.15395,2.503697778,,,,,,,
913,G30403,E011-3,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6654334,35.18771191,651632.91,3895130.079,-1,20200321,0.1082,0.131,0.1528,0.2374,0.2781,0.2613,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.13688487,-21.27759019,,6.54,,3.27,,,61.89050386,15.70264322,77.59314707,13.1863338,9.220519125,0.848397065,0.077240302,5.194083333,88.56535479,18.82143345,7.83026372,,,,49.06,,,,,4.563892222,,1.595401111,1.25793,2.853331111,,,,,,,
914,G30404,E011-4,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.664996,35.18767912,651593.142,3895125.774,-1,20200321,0.11,0.1404,0.1584,0.2313,0.2803,0.2627,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.768762983,-12.54600834,,6.61,,2.95,,,52.38603385,18.29342482,70.67945867,17.60229777,11.71824356,1.107650633,0.100471431,6.258416667,83.31859207,15.25613989,20.72008246,,,,48.16,,,,,5.390594444,,1.843978889,1.10196,2.945938889,,,,,,,
915,G30405,E011-5,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6645586,35.18764632,651553.375,3895121.469,-1,20200321,0.1064,0.1348,0.1528,0.2374,0.2845,0.2674,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.804222908,-12.73254512,,6.57,,3.71,,,36.16232093,25.74358666,61.90590759,23.3576935,14.73639891,1.19628204,0.107173441,7.767083333,113.7498159,22.71838223,16.38332101,,,,38.18,,,,,8.132601111,,1.677285556,1.25793,2.935215556,,,,,,,
916,G30406,E011-6,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6663451,35.18750945,651716.301,3895109.014,1,20200321,0.1194,0.1476,0.1716,0.2249,0.2657,0.2521,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.669314117,-14.27645822,,6.66,,2.52,,,60.78354613,16.33040231,77.11394845,13.24981932,9.636232233,0.770745841,0.073401794,5.142416667,66.94869237,12.10541535,16.8049506,,,,86.27,,,,,4.358186667,,1.767943333,0.99798,2.765923333,,,,,,,
917,G30407,E011-7,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6659077,35.18747666,651676.534,3895104.709,-2,20200321,0.126,0.151,0.1818,0.2358,0.2843,0.2725,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.2140173,-13.68616093,,6.65,,2.78,,,55.49401572,18.56577695,74.05979268,15.5240623,10.41614502,0.813164828,0.076399169,5.514416667,81.8494985,15.33905369,14.51610428,,,,70.84,,,,,5.032796667,,1.62757,1.04997,2.67754,,,,,,,
918,G30408,E011-8,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6654703,35.18744386,651636.766,3895100.404,0,20200321,0.126,0.1528,0.1796,0.2315,0.2808,0.2686,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.261906889,-13.38895259,,6.63,,2.83,,,55.96657269,17.55336287,73.51993556,15.80749094,10.6725735,0.925534008,0.083598019,5.80375,87.2361749,18.57269204,15.23889785,,,,87.17,,,,,4.005464444,,1.133338889,1.11929,2.252628889,,,,,,,
919,G30409,E011-9,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6650329,35.18741105,651596.999,3895096.098,0,20200321,0.1252,0.1556,0.1784,0.2281,0.2772,0.2663,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.93663207,-14.43670824,,6.65,,2.61,,,54.89260143,18.15831344,73.05091488,16.75616547,10.19291965,0.844124268,0.079811051,5.700416667,81.0799733,16.25110553,16.684485,,,,85.36,,,,,5.51696,,1.171356667,1.10196,2.273316667,,,,,,,
920,G30410,E011-10,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E011,136.6645955,35.18737825,651557.231,3895091.793,-1,20200321,0.1226,0.1526,0.174,0.2344,0.2628,0.2462,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.538877717,-13.61675959,,6.6,,3.22,,,42.47431448,21.53134178,64.00565625,22.8425643,13.15177945,1.144398451,0.100200397,7.364083333,120.0459311,25.12288253,11.38399879,,,,105.32,,,,,7.209264444,,1.422858889,1.22327,2.646128889,,,,,,,
921,G30411,E012-1,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6663676,35.18730036,651718.743,3895085.857,-2,20200321,0.1102,0.137,0.1582,0.232,0.2688,0.251,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.184532836,-14.21044877,,6.61,,3.22,,,51.77303556,20.32312841,72.09616397,16.83167334,11.0721627,0.954366439,0.084045351,6.465083333,104.5854703,24.12791689,19.5756593,,,,74.47,,,,,4.16618,,1.750396667,1.67385,3.424246667,,,,,,,
922,G30412,E012-2,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6659302,35.18726757,651678.975,3895081.552,-2,20200321,0.111,0.1384,0.1622,0.239,0.2754,0.2623,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.281009002,-13.97415093,,6.67,,2.65,,,49.73118552,21.10927739,70.84046291,18.12346229,11.0360748,0.962006372,0.088357215,5.95875,86.39669286,18.07520922,13.07051713,,,,69.93,,,,,4.61458,,1.504743333,1.25793,2.762673333,,,,,,,
923,G30413,E012-3,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6654928,35.18723476,651639.207,3895077.246,0,20200321,0.1174,0.1434,0.1662,0.2336,0.2765,0.261,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.577447429,-19.91251493,,6.41,,4.36,,,53.23788414,19.65494519,72.89282933,16.27428663,10.83288404,0.927646515,0.086458158,5.731416667,73.80446233,15.75362271,31.74268446,,,,86.27,,,,,3.658887778,,3.037152222,1.5872,4.624352222,,,,,,,
924,G30414,E012-4,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6650554,35.18720196,651599.44,3895072.941,-1,20200321,0.1104,0.1376,0.1594,0.2341,0.2762,0.2579,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-6.224629967,-13.68232381,,6.49,,3.36,,,47.99381492,22.02244073,70.01625565,18.68408532,11.29965903,1.08762889,0.100819847,6.072416667,80.87010279,15.75362271,17.76867536,,,,76.29,,,,,5.771418889,,1.305881111,1.20594,2.511821111,,,,,,,
925,G30415,E012-5,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6663975,35.18702958,651721.963,3895055.869,0,20200321,0.1174,0.1432,0.1614,0.2218,0.2368,0.2091,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.387550084,-12.94728685,,6.59,,3.23,,,52.58452359,20.75251018,73.33703377,17.14755821,9.515408023,0.862630469,0.080917485,5.74175,98.2193982,20.56262333,16.7447178,,,,90.8,,,,,4.624633333,,1.136263333,1.30992,2.446183333,,,,,,,
926,G30416,E012-6,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6659601,35.18699679,651682.195,3895051.564,-3,20200321,0.1262,0.1526,0.1774,0.2348,0.2771,0.2668,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.754113136,-15.82959511,,6.5,,3.67,,,48.98062442,22.64551524,71.62613967,18.5025348,9.871325535,1.035852893,0.093928102,6.29975,104.0258156,20.56262333,25.53870629,,,,77.19,,,,,5.840772222,,1.604174444,1.34458,2.948754444,,,,,,,
927,G30417,E012-7,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6655227,35.18696399,651642.428,3895047.259,-2,20200321,0.131,0.1506,0.1776,0.2362,0.282,0.2708,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.051029719,-15.19083569,,6.49,,2.83,,,57.42501973,17.51578532,74.94080505,15.78531965,9.273875296,0.870230016,0.079528856,5.545416667,79.19113872,13.3491224,23.18962717,,,,59.95,,,,,5.564062222,,0.911081111,1.10196,2.013041111,,,,,,,
928,G30418,E012-8,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E012,136.6650853,35.18693119,651602.66,3895042.954,-1,20200321,0.1222,0.144,0.1686,0.2329,0.2791,0.2649,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.06474522,-17.25596663,,6.46,,4.2,,,31.10045013,29.85864329,60.95909342,25.12240385,13.91850272,1.238066047,0.112011335,7.860083333,121.5150247,26.20076198,20.96101365,,,,48.16,,,,,3.842997778,,1.010512222,1.43123,2.441742222,,,,,,,
929,G30419,E013-1,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E013,136.6664188,35.18680688,651724.319,3895031.201,0,20200321,0.1078,0.1462,0.152,0.2524,0.2524,0.2258,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.5854022,-15.59486779,,6.53,,3.4,,,52.2491248,22.32598619,74.57511099,16.13502572,9.289863292,0.95592075,0.084952737,5.638416667,85.41729716,19.07017486,20.05752168,,,,47.25,,,,,5.063327778,,1.071925556,1.36191,2.433835556,,,,,,,
930,G30420,E013-2,2020,岐阜,海津市海津町,水田,,福江営農,田中貴,E013,136.6659814,35.18677409,651684.551,3895026.896,-2,20200321,0.141,0.1676,0.1906,0.2711,0.2914,0.2755,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.102510401,-14.5327091,,6.45,,3.67,,,54.84479557,19.0667099,73.91150547,16.31145044,9.77704409,1.03479094,0.095713503,5.40075,84.22803094,15.75362271,25.0568439,,,,44.53,,,,,5.577182222,,0.972494444,1.2406,2.213094444,,,,,,,
